state;location;zipcode;lon;lat
01;Panten;23896;10,61977;53,664571
01;Poggensee;23896;10,579484;53,640102
01;Ritzerau;23896;10,567545;53,663003
01;Sandesneben;23898;10,496793;53,68797
01;Schiphorst;23847;10,461627;53,708361
01;Schönberg;22929;10,433054;53,677154
01;Schürensöhlen;23847;10,47204;53,763455
01;Siebenbäumen;23847;10,525162;53,749557
01;Sirksfelde;23898;10,509773;53,66533
01;Steinhorst;23847;10,48343;53,719989
01;Stubben;23847;10,43068;53,732928
01;Walksfelde;23896;10,575101;53,631901
01;Wentorf (Amt Sandesneben);23898;10,474911;53,67663
01;Sachsenwald (Forstgutsbez.),gemfr.Geb.;;;
01;Sachsenwald (Forstgutsbez.),gemfr.Geb.;21521;10,373262;53,530995
01;Nordfriesland;;;
01;Friedrichstadt, Stadt;;;
01;Friedrichstadt, Stadt;25840;9,087943;54,37346
01;Husum, Stadt;;;
01;Husum, Stadt;25813;9,057178;54,477143
01;Reußenköge;;;
01;Reußenköge;25821;8,883096;54,620428
01;Tönning, Stadt;;;
01;Tönning, Stadt;25832;8,941868;54,31662
01;Sylt;;;
01;Sylt;25980;8,30875;54,90786
01;Eiderstedt;;;
01;Garding, Kirchspiel;25836;8,78356;54,317383
01;Garding, Stadt;25836;8,778217;54,327962
01;Grothusenkoog;25836;8,759033;54,302739
01;Katharinenheerd;25836;8,828074;54,335199
01;Kotzenbüll;25832;8,907487;54,333778
01;Norderfriedrichskoog;25870;8,893583;54,400271
01;Oldenswort;25870;8,942989;54,372281
01;Osterhever;25836;8,765219;54,385302
01;Poppenbüll;25836;8,761168;54,361585
01;Sankt Peter-Ording;25826;8,640495;54,302281
01;Tating;25881;8,708512;54,325497
01;Tetenbüll;25882;8,828234;54,352013
01;Tümlauer Koog;25881;8,689757;54,348337
01;Vollerwiek;25836;8,794694;54,290681
01;Welt;25836;8,79406;54,302402
01;Westerhever;25881;8,67563;54,382315
01;Landschaft Sylt;;;
01;Hörnum (Sylt);25997;8,287218;54,756098
01;Kampen (Sylt);25999;8,342294;54,955508
01;List auf Sylt;25992;8,436183;55,020026
01;Wenningstedt-Braderup (Sylt);25996;8,319785;54,931063
01;Viöl;;;
01;Ahrenviöl;25885;9,206895;54,531254
01;Ahrenviölfeld;25885;9,274084;54,534607
01;Behrendorf;25850;9,22759;54,562059
01;Bondelum;25850;9,26682;54,556555
01;Haselund;25855;9,182961;54,591683
01;Immenstedt;25885;9,162503;54,541449
01;Löwenstedt;25864;9,174887;54,621612
01;Norstedt;25884;9,129313;54,588429
01;Oster-Ohrstedt;25885;9,227445;54,514539
01;Schwesing;25813;9,134622;54,493899
01;Sollwitt;25884;9,228482;54,594606
01;Viöl;25884;9,180557;54,568875
01;Wester-Ohrstedt;25885;9,190063;54,507226
01;Pellworm;;;
01;Gröde;25869;8,717443;54,631686
01;Hallig Hooge;25859;8,550938;54,566389
01;Langeneß;25863;8,594129;54,637917
01;Pellworm;25849;8,686238;54,518632
01;Föhr-Amrum;;;
01;Alkersum;25938;8,511244;54,708245
01;Borgsum;25938;8,460009;54,699989
01;Dunsum;25938;8,414572;54,730715
01;Midlum;25938;8,518625;54,714878
01;Nebel;25946;8,353658;54,650612
01;Nieblum;25938;8,489439;54,691947
01;Norddorf auf Amrum;25946;8,332935;54,679638
01;Oevenum;25938;8,530541;54,710109
01;Oldsum;25938;8,447735;54,732075
01;Süderende;25938;8,439339;54,725601
01;Utersum;25938;8,407243;54,714455
01;Witsum;25938;8,44106;54,698516
01;Wittdün auf Amrum;25946;8,392971;54,626534
01;Wrixum;25938;8,549002;54,699012
01;Wyk auf Föhr, Stadt;25938;8,567212;54,691093
01;Südtondern;;;
01;Achtrup;25917;9,028319;54,788981
01;Aventoft;25927;8,822142;54,901249
01;Bosbüll;25899;8,860437;54,822786
01;Braderup;25923;8,890308;54,835624
01;Bramstedtlund;25926;9,08724;54,840025
01;Dagebüll;25899;8,706381;54,730209
01;Ellhöft;25923;8,957598;54,888824
01;Friedrich-Wilhelm-Lübke-Koog;25924;8,631939;54,862372
01;Holm;25923;8,860525;54,831367
01;Humptrup;25923;8,864538;54,863199
01;Karlum;25926;8,975269;54,828646
01;Klanxbüll;25924;8,679546;54,864348
01;Klixbüll;25899;8,882448;54,805242
01;Ladelund;25926;9,025311;54,84075
01;Leck;25917;8,974572;54,771914
01;Lexgaard;25923;8,943493;54,832022
01;Neukirchen;25927;8,73388;54,868905
01;Niebüll, Stadt;25899;8,829499;54,788141
01;Risum-Lindholm;25920;8,875515;54,761513
01;Rodenäs;25924;8,70031;54,888387
01;Sprakebüll;25917;9,077168;54,775904
01;Stadum;25917;9,050473;54,736011
01;Stedesand;25920;8,925525;54,738139
01;Süderlügum;25923;8,907944;54,872427
01;Tinningstedt;25917;8,929787;54,811247
01;Uphusum;25923;8,849901;54,841901
01;Westre;25926;8,987549;54,856605
01;Galmsbüll;25899;8,732055;54,775694
01;Emmelsbüll-Horsbüll;25924;8,692601;54,811403
01;Enge-Sande;25917;8,98049;54,726675
01;Nordsee-Treene;;;
01;Arlewatt;25860;9,083426;54,539223
01;Drage;25878;9,160731;54,354509
01;Elisabeth-Sophien-Koog;25845;8,879592;54,510068
01;Fresendelf;25876;9,248765;54,39338
01;Hattstedt;25856;9,02454;54,528049
01;Hattstedtermarsch;25856;8,964562;54,554793
01;Horstedt;25860;9,069038;54,525582
01;Hude;25876;9,215821;54,387212
01;Koldenbüttel;25840;9,065906;54,384849
01;Mildstedt;25866;9,094038;54,463492
01;Nordstrand;25845;8,860249;54,484823
01;Oldersbek;25873;9,166728;54,446436
01;Olderup;25860;9,112117;54,538167
01;Ostenfeld (Husum);25872;9,230675;54,462866
01;Ramstedt;25876;9,167101;54,399905
01;Rantrum;25873;9,129606;54,44052
01;Schwabstedt;25876;9,185238;54,395651
01;Seeth;25878;9,163079;54,365824
01;Simonsberg;25813;8,97196;54,436567
01;Süderhöft;25876;9,2423;54,381912
01;Südermarsch;25813;9,08199;54,425929
01;Uelvesbüll;25889;8,935322;54,415443
01;Winnert;25887;9,201381;54,433243
01;Wisch;25876;9,154149;54,408531
01;Wittbek;25872;9,204139;54,473433
01;Witzwort;25889;8,984464;54,399484
01;Wobbenbüll;25856;8,992516;54,530418
01;Mittleres Nordfriesland;;;
01;Ahrenshöft;25853;9,068097;54,559394
01;Almdorf;25821;9,015622;54,581075
01;Bargum;25842;8,947267;54,704209
01;Bohmstedt;25853;9,043841;54,581229
01;Bordelum;25852;8,924922;54,635913
01;Bredstedt, Stadt;25821;8,960958;54,620073
01;Breklum;25821;8,982127;54,605121
01;Drelsdorf;25853;9,041284;54,60599
01;Goldebek;25862;9,145818;54,678836
01;Goldelund;25862;9,107425;54,678411
01;Högel;25858;9,056667;54,643538
01;Joldelund;25862;9,139662;54,652937
01;Kolkerheide;25862;9,130775;54,620407
01;Langenhorn;25842;8,933726;54,681709
01;Lütjenholm;25842;9,021561;54,684136
01;Ockholm;25842;8,827553;54,665128
01;Sönnebüll;25821;8,995888;54,63119
01;Struckum;25821;8,994073;54,588682
01;Vollstedt;25821;9,032722;54,623717
01;Ostholstein;;;
01;Ahrensbök;;;
01;Ahrensbök;23623;10,573059;54,011094
01;Bad Schwartau, Stadt;;;
01;Bad Schwartau, Stadt;23611;10,695909;53,920431
01;Bosau;;;
01;Bosau;23715;10,429901;54,104439
01;Dahme;;;
01;Dahme;23747;11,08163;54,223661
01;Eutin, Stadt;;;
01;Eutin, Stadt;23701;10,614962;54,138933
01;Grömitz;;;
01;Grömitz;23743;10,961101;54,149249
01;Grube;;;
01;Grube;23749;11,03599;54,23209
01;Heiligenhafen, Stadt;;;
01;Heiligenhafen, Stadt;23774;10,974623;54,373048
01;Kellenhusen (Ostsee);;;
01;Kellenhusen (Ostsee);23746;11,060024;54,190749
01;Malente;;;
01;Malente;23714;10,554871;54,171225
01;Neustadt in Holstein, Stadt;;;
01;Neustadt in Holstein, Stadt;23730;10,816351;54,10563
01;Oldenburg in Holstein, Stadt;;;
01;Oldenburg in Holstein, Stadt;23758;10,88815;54,293241
01;Ratekau;;;
01;Ratekau;23626;10,735075;53,947822
01;Stockelsdorf;;;
01;Stockelsdorf;23617;10,649799;53,889315
01;Süsel;;;
01;Süsel;23701;10,717998;54,076679
01;Timmendorfer Strand;;;
01;Timmendorfer Strand;23669;10,770247;53,99638
01;Scharbeutz;;;
01;Scharbeutz;23683;10,750232;54,022793
01;Fehmarn, Stadt;;;
01;Fehmarn, Stadt;23769;11,197614;54,4387
01;Oldenburg-Land;;;
01;Göhl;23758;10,941851;54,284726
01;Gremersdorf;23758;10,927673;54,332831
01;Großenbrode;23775;11,08427;54,369696
01;Heringsdorf;23777;11,003697;54,300432
01;Neukirchen;23779;11,015153;54,323811
01;Wangels;23758;10,763598;54,271569
01;Lensahn;;;
01;Beschendorf;23738;10,873043;54,182743
01;Damlos;23738;10,907708;54,243016
01;Harmsdorf;23738;10,828509;54,243787
01;Kabelhorst;23738;10,921118;54,215844
01;Lensahn;23738;10,883304;54,217545
01;Manhagen;23738;10,913686;54,194999
01;Riepsdorf;23738;10,969732;54,22536
01;Ostholstein-Mitte;;;
01;Altenkrempe;23730;10,825665;54,13298
01;Kasseedorf;23717;10,72002;54,164947
01;Schashagen;23730;10,883528;54,134271
01;Schönwalde am Bungsberg;23744;10,753453;54,187361
01;Sierksdorf;23730;10,768366;54,066261
01;Pinneberg;;;
01;Barmstedt, Stadt;;;
01;Barmstedt, Stadt;25355;9,768595;53,790385
01;Bönningstedt;;;
01;Bönningstedt;25474;9,906267;53,662295
01;Elmshorn, Stadt;;;
01;Elmshorn, Stadt;25335;9,661295;53,757628
01;Halstenbek;;;
01;Halstenbek;25469;9,837557;53,633617
01;Hasloh;;;
01;Hasloh;25474;9,91173;53,694023
01;Helgoland;;;
01;Helgoland;27498;7,887147;54,181561
01;Pinneberg, Stadt;;;
01;Pinneberg, Stadt;25421;9,793233;53,660754
01;Quickborn, Stadt;;;
01;Quickborn, Stadt;25451;9,898034;53,728836
01;Rellingen;;;
01;Rellingen;25462;9,829654;53,652131
01;Schenefeld, Stadt;;;
01;Schenefeld, Stadt;22869;9,822462;53,600982
01;Tornesch, Stadt;;;
01;Tornesch, Stadt;25436;9,711965;53,697658
01;Uetersen, Stadt;;;
01;Uetersen, Stadt;25436;9,662396;53,684196
01;Wedel, Stadt;;;
01;Wedel, Stadt;22880;9,705419;53,577353
01;Elmshorn-Land;;;
01;Klein Nordende;25336;9,654218;53,719569
01;Klein Offenseth-Sparrieshoop;25365;9,690397;53,804948
01;Kölln-Reisiek;25337;9,697647;53,757477
01;Seester;25370;9,598071;53,717709
01;Raa-Besenbek;25335;9,597611;53,747963
01;Seestermühe;25371;9,56628;53,704049
01;Seeth-Ekholt;25337;9,732775;53,742874
01;Hörnerkirchen;;;
01;Bokel;25364;9,733886;53,864194
01;Brande-Hörnerkirchen;25364;9,705145;53,855084
01;Osterhorn;25364;9,698588;53,868679
01;Westerhorn;25364;9,681996;53,857844
01;Rantzau;;;
01;Bevern;25355;9,771042;53,755719
01;Bilsen;25485;9,87625;53,769901
01;Bokholt-Hanredder;25335;9,735213;53,787955
01;Bullenkuhlen;25355;9,751552;53,768586
01;Ellerhoop;25373;9,770845;53,727623
01;Groß Offenseth-Aspern;25355;9,73009;53,817783
01;Heede;25355;9,802298;53,783499
01;Hemdingen;25485;9,836865;53,762926
01;Langeln;25485;9,85372;53,795088
01;Lutzhorn;25355;9,776787;53,825517
01;Pinnau;;;
01;Borstel-Hohenraden;25494;9,824303;53,697872
01;Ellerbek;25474;9,869621;53,657209
01;Kummerfeld;25495;9,791036;53,691612
01;Prisdorf;25497;9,761607;53,678151
01;Tangstedt;25499;9,849699;53,679247
01;Geest und Marsch Südholstein;;;
01;Appen;25482;9,742691;53,659806
01;Groß Nordende;25436;9,649515;53,70207
01;Haselau;25489;9,623636;53,660647
01;Haseldorf;25489;9,598383;53,635207
01;Heidgraben;25436;9,680783;53,708543
01;Heist;25492;9,656576;53,654819
01;Hetlingen;25491;9,63544;53,607678
01;Holm;25488;9,671854;53,622062
01;Moorrege;25436;9,659074;53,668054
01;Neuendeich;25436;9,600258;53,676281
01;Plön;;;
01;Ascheberg (Holstein);;;
01;Ascheberg (Holstein);24326;10,341108;54,151075
01;Bönebüttel;;;
01;Bönebüttel;24620;10,0593;54,079505
01;Bösdorf;;;
01;Bösdorf;24306;10,490762;54,14153
01;Plön, Stadt;;;
01;Plön, Stadt;24306;10,416369;54,158288
01;Preetz, Stadt;;;
01;Preetz, Stadt;24211;10,280512;54,231866
01;Schwentinental, Stadt;;;
01;Schwentinental, Stadt;24223;10,238223;54,282411
01;Amt Lütjenburg;;;
01;Behrensdorf (Ostsee);24321;10,603736;54,346515
01;Blekendorf;24327;10,650894;54,276459
01;Dannau;24329;10,541132;54,240905
01;Giekau;24321;10,506159;54,317441
01;Helmstorf;24321;10,593478;54,286644
01;Högsdorf;24327;10,615055;54,251994
01;Hohenfelde;24257;10,496402;54,370898
01;Hohwacht (Ostsee);24321;10,67371;54,320922
01;Kirchnüchel;23714;10,680134;54,20411
01;Klamp;24321;10,534124;54,296417
01;Kletkamp;24327;10,638094;54,249088
01;Lütjenburg, Stadt;24321;10,592237;54,294852
01;Panker;24321;10,573095;54,33034
01;Schwartbuck;24257;10,478063;54,358264
01;Tröndel;24321;10,525459;54,335207
01;Großer Plöner See;;;
01;Dersau;24326;10,33594;54,118055
01;Dörnick;24326;10,360375;54,163392
01;Grebin;24329;10,494272;54,195932
01;Kalübbe;24326;10,283107;54,118146
01;Lebrade;24306;10,422164;54,216652
01;Nehmten;24326;10,393262;54,094848
01;Rantzau;24329;10,507361;54,253869
